Roll no.,Name Surname,Age,Gender,Students id,Grade,Email,Phone,Major
25,Risalet Yüksel,18,Male,202019517,0.06,risaletyuksel@itu.edu.tr,05408236943,Geological Engineering
21,Canal Eraslan,21,Male,911907383,1.87,canaleraslan@itu.edu.tr,05643186208,Physics Engineering
258,Nalân Korutürk,20,Female,451486666,1.52,nalânkoruturk@itu.edu.tr,05014683162,Architecture
180,Benice Korutürk,22,Female,218673005,1.99,benicekoruturk@itu.edu.tr,05222379721,Textile Engineering
82,Annak Çorlu,30,Male,686189526,3.91,annakcorlu@itu.edu.tr,05763745536,Computer Engineering
62,Durgadin Hayrioğlu,27,Female,401860612,2.98,durgadinhayrioglu@itu.edu.tr,05368263999,Electrical Engineering
236,Nurtaç Akgündüz,18,Female,693002065,2.69,nurtacakgunduz@itu.edu.tr,05681517781,Electronics and Communications Engineering
28,Altınçiçek Öcalan,17,Female,597935444,1.04,altincicekocalan@itu.edu.tr,05357181365,Management Engineering
15,Uluğbey Zorlu,21,Male,248889641,1.17,ulugbeyzorlu@itu.edu.tr,05260821679,Naval Construction and Ship Machinery Engineering
33,Muvahhide Bilgin,18,Female,881591858,1.82,muvahhidebilgin@itu.edu.tr,05736416429,Mining Engineering
48,Beste Mansız,27,Female,888162548,2.07,bestemansiz@itu.edu.tr,05087217447,Architecture
248,Feryas Durdu,26,Female,638385889,0.54,feryasdurdu@itu.edu.tr,05022149258,Economy
195,Mirbadin Çorlu,22,Male,128302975,1.28,mirbadincorlu@itu.edu.tr,05637872333,Industrial Engineering
39,Yasan Zengin,17,Male,190487208,3.76,yasanzengin@itu.edu.tr,05931872557,Environmental Engineering
290,Talibe Çetin,28,Female,325937949,0.06,talibecetin@itu.edu.tr,05206002304,Electrical Engineering
245,Özdeş Yüksel,18,Female,588496126,1.96,ozdesyuksel@itu.edu.tr,05471649682,Geophysical Engineering
76,Pembesin Durmuş,28,Female,599687026,3.4,pembesindurmus@itu.edu.tr,05610377555,Naval Construction and Ship Machinery Engineering
262,Zebirce Zengin,20,Female,727388000,3.42,zebircezengin@itu.edu.tr,05412330976,Architecture
276,Yeşil Çetin,25,Female,779483259,0.68,yesilcetin@itu.edu.tr,05571024586,Naval Construction and Ship Machinery Engineering
251,Gülselin Erdoğan,24,Female,546726894,3.78,gulselinerdogan@itu.edu.tr,05418461864,Molecular Biology and Genetics
220,Sernur Akça,27,Female,104247107,0.16,sernurakca@itu.edu.tr,05058855676,Computer Engineering
294,Güllühan Fırat,20,Female,808208117,2.13,gulluhanfirat@itu.edu.tr,05210466144,Industrial Engineering
224,Ushan Sakarya,24,Male,267670086,2.51,ushansakarya@itu.edu.tr,05815717754,Geomatic Engineering
85,Seyfullah Sezgin,18,Male,896360787,0.16,seyfullahsezgin@itu.edu.tr,05888608576,Manufacturing Engineering
206,Canfeza Erdoğan,18,Female,630596746,0.26,canfezaerdogan@itu.edu.tr,05165074389,Management Engineering
241,Aksöğüt Ertaş,23,Male,854430873,1.24,aksogutertas@itu.edu.tr,05898275526,Geological Engineering
121,Çinerk Demirel,19,Male,806521424,2.26,cinerkdemirel@itu.edu.tr,05028591283,Economy
54,Selvi Alemdar,19,Female,965415407,0.97,selvialemdar@itu.edu.tr,05438316719,Manufacturing Engineering
285,Minibe Akça,24,Female,311541159,1.29,minibeakca@itu.edu.tr,05161881707,Artificial Intelligence and Data Engineering
191,Beray Akar,24,Female,117358418,0.7,berayakar@itu.edu.tr,05124975454,Mining Engineering
74,Gülsevil Hançer,23,Female,208780610,3.63,gulsevilhancer@itu.edu.tr,05747374686,Petroleum and Natural Gas Engineering
26,Nasiba Soylu,26,Female,686417394,1.82,nasibasoylu@itu.edu.tr,05418113281,Metallurgy and Materials Engineering
136,Perinur Fırat,19,Female,812177437,0.45,perinurfirat@itu.edu.tr,05410182733,Aircraft Engineering
158,Siper Güçlü,20,Male,201248657,1.89,siperguclu@itu.edu.tr,05240276919,Metallurgy and Materials Engineering
269,Zeyno Eraslan,25,Female,572456844,2.35,zeynoeraslan@itu.edu.tr,05629707588,Textile Development and Marketing
151,Hümeyra Çetin,22,Female,477534687,3.08,humeyracetin@itu.edu.tr,05582871412,Architecture
192,Mishat Ertaş,21,Male,684310192,1.91,mishatertas@itu.edu.tr,05689693002,City and Region Planning
274,Bilginur Ertaş,24,Female,132558525,0.39,bilginurertas@itu.edu.tr,05372647589,Food Engineering
1,Ilgı Ergül,26,Male,460833827,2.31,ilgiergul@itu.edu.tr,05837775010,Industrial Products Engineering
250,Lerze Şafak,23,Female,680210015,1.05,lerzesafak@itu.edu.tr,05423726400,Geomatic Engineering
154,Şahıgül Aksu,23,Female,875491037,0.76,sahigulaksu@itu.edu.tr,05660530693,Economy
235,Taşar Çorlu,24,Male,388017769,3.66,tasarcorlu@itu.edu.tr,05430040060,Industrial Products Engineering
52,Vacibe Ergül,21,Female,310197261,3.86,vacibeergul@itu.edu.tr,05932532403,Control and Automation Engineering
22,Aynımah İhsanoğlu,18,Female,328685093,1.47,aynimahi̇hsanoglu@itu.edu.tr,05182442162,Textile Engineering
203,Rafih Durmuş,30,Male,993926869,2.29,rafihdurmus@itu.edu.tr,05007799002,Mechanical Engineering
96,Mukbile Aksu,19,Female,212006319,1.89,mukbileaksu@itu.edu.tr,05383471844,Electronics and Communications Engineering
11,Fatih Mansız,18,Male,997702383,2.76,fatihmansiz@itu.edu.tr,05629775729,Astronautical Engineering
286,Ürper Erdoğan,25,Female,214047725,1.07,urpererdogan@itu.edu.tr,05747763725,Mathematics Engineering
283,Kızıltunç İhsanoğlu,21,Male,576413129,1.37,kiziltunci̇hsanoglu@itu.edu.tr,05011726888,Physics Engineering
142,Dilsitan Çorlu,25,Female,122154691,2.45,dilsitancorlu@itu.edu.tr,05877551706,Mechanical Engineering
80,Sebigül Çamurcuoğlu,28,Female,661559378,2.82,sebigulcamurcuoglu@itu.edu.tr,05135841648,Maritime Transportation Management Engineering
2,Yertan Ülker,25,Male,715091870,1.54,yertanulker@itu.edu.tr,05322369661,Mathematics Engineering
296,Gümüştekin Korutürk,29,Male,822583872,0.42,gumustekinkoruturk@itu.edu.tr,05192263188,Ship Machinery Management Engineering
167,Alkor Alemdar,21,Male,395225960,3.23,alkoralemdar@itu.edu.tr,05891239324,Textile Development and Marketing
259,Sanavber Tevetoğlu,22,Female,817279904,2.07,sanavbertevetoglu@itu.edu.tr,05529166608,Aircraft Engineering
120,Hurican İhsanoğlu,19,Female,319914398,2.32,huricani̇hsanoglu@itu.edu.tr,05388367708,Interior Architecture
159,Hazine Yüksel,19,Female,769752011,2.43,hazineyuksel@itu.edu.tr,05575148443,Petroleum and Natural Gas Engineering
255,Binay Akçay,30,Female,171102585,1.05,binayakcay@itu.edu.tr,05446238011,Chemical Engineering
275,Coşkun Akar,21,Male,789205201,3.87,coskunakar@itu.edu.tr,05133105143,Architecture
66,Aycagül Gülen,21,Female,960376405,0.05,aycagulgulen@itu.edu.tr,05590603224,Mining Engineering
146,Tezcan Korutürk,30,Male,857422684,2.75,tezcankoruturk@itu.edu.tr,05451857954,Textile Development and Marketing
272,Sehel Duran,18,Female,353743456,2.84,sehelduran@itu.edu.tr,15489873123,Geomatic Engineering
208,Urhan Akçay,30,Male,523504778,3.12,urhanakcay@itu.edu.tr,05106909904,Geophysical Engineering
31,Nurullah Çorlu,19,Male,898439480,1.26,nurullahcorlu@itu.edu.tr,05803389308,Astronautical Engineering
217,Gülçe Şensoy,29,Female,741474125,1.7,gulcesensoy@itu.edu.tr,05505334555,Economy
131,Sayın Yüksel,18,Male,554166133,0.88,sayinyuksel@itu.edu.tr,05501559519,Metallurgy and Materials Engineering
46,Baltaş Kısakürek,21,Male,314997108,2.0,baltaskisakurek@itu.edu.tr,05276794153,Meteorological Engineering
87,Alpin Mansız,26,Male,272853264,1.47,alpinmansiz@itu.edu.tr,05556486535,Molecular Biology and Genetics
92,Bedri Yıldırım,24,Male,556496223,3.55,bedriyildirim@itu.edu.tr,05564506229,Control and Automation Engineering
68,Kürşad Bilir,27,Male,754188174,1.96,kursadbilir@itu.edu.tr,05403275864,Artificial Intelligence and Data Engineering
196,Ertün Bilgin,19,Male,559532560,3.72,ertunbilgin@itu.edu.tr,05149676264,Textile Development and Marketing
171,Süleyla Durmuş,24,Female,417452829,3.61,suleyladurmus@itu.edu.tr,05864572738,Molecular Biology and Genetics
289,Hazine Sezgin,21,Female,904813868,1.3,hazinesezgin@itu.edu.tr,05015764373,Environmental Engineering
106,Tanses Dumanlı,25,Female,206082359,1.42,tansesdumanli@itu.edu.tr,05772743198,Textile Development and Marketing
277,Mürit Sezgin,18,Male,601482895,0.15,muritsezgin@itu.edu.tr,05287020827,Mining Engineering
19,Atiyye Akdeniz,17,Female,733018563,2.84,atiyyeakdeniz@itu.edu.tr,05401380035,Electrical Engineering
103,Baturay Aksu,18,Male,580123536,1.32,baturayaksu@itu.edu.tr,05977888212,Geological Engineering
155,Mevlüdiye Yorulmaz,23,Female,512155750,2.97,mevludiyeyorulmaz@itu.edu.tr,05700459234,Industrial Engineering
18,Birgül Duran,18,Female,843405710,3.44,birgulduran@itu.edu.tr,05114463224,City and Region Planning
135,Bilgütay Durmuş,29,Male,833060511,0.85,bilgutaydurmus@itu.edu.tr,05160453992,Food Engineering
207,Göksev Şener,26,Male,573759886,0.08,goksevsener@itu.edu.tr,05320129154,Electronics and Communications Engineering
292,Kaşif Hançer,21,Male,433360280,1.38,kasifhancer@itu.edu.tr,05334161373,Civil Engineering
37,Özerdinç Sezer,30,Male,830939806,0.22,ozerdincsezer@itu.edu.tr,05694501486,Geomatic Engineering
215,Andiç Sakarya,29,Male,676497358,3.95,andicsakarya@itu.edu.tr,05345224256,Ship Machinery Management Engineering
187,Hekmet Sezgin,28,Male,763340906,2.23,hekmetsezgin@itu.edu.tr,05858549406,Computer Engineering
114,Baykan Eraslan,29,Male,702079496,3.4,baykaneraslan@itu.edu.tr,05164062459,Naval Construction and Ship Machinery Engineering
60,Selatin Gülen,28,Male,809860416,1.95,selatingulen@itu.edu.tr,05948352410,Chemical Engineering
288,Fahrullah Ergül,29,Male,490988920,3.13,fahrullahergul@itu.edu.tr,05493018329,Ship and Marine Technology Engineering
204,Hidir Korutürk,24,Male,695785607,2.13,hidirkoruturk@itu.edu.tr,05369083567,Textile Engineering
126,Yargı Alemdar,29,Male,302707592,3.7,yargialemdar@itu.edu.tr,05213521335,Aircraft Engineering
12,Asalet Demirel,29,Male,155555080,1.47,asaletdemirel@itu.edu.tr,05687388570,Petroleum and Natural Gas Engineering
41,Serma Bilgin,19,Female,638775247,2.68,sermabilgin@itu.edu.tr,05397628615,Food Engineering
256,Tiğin Sakarya,29,Male,125506104,2.3,tiginsakarya@itu.edu.tr,05033084245,Geophysical Engineering
73,Mahigül Akçay,21,Female,525631757,2.89,mahigulakcay@itu.edu.tr,05533647786,Ship Machinery Management Engineering
63,İlgi Demir,19,Male,506110770,3.83,i̇lgidemir@itu.edu.tr,05345846486,Economy
134,Abdulmenaf Alemdar,21,Male,562535655,3.59,abdulmenafalemdar@itu.edu.tr,05125571222,Geological Engineering
127,Gabel Alemdar,24,Female,544431430,2.65,gabelalemdar@itu.edu.tr,05421977910,Control and Automation Engineering
179,Rabbiye Aksu,17,Female,677878993,3.03,rabbiyeaksu@itu.edu.tr,05957863655,Geomatic Engineering
89,Ahter Aksu,27,Female,680760881,3.36,ahteraksu@itu.edu.tr,05218735240,Economy
253,Sarpkın Çamurcuoğlu,22,Male,542106024,3.69,sarpkincamurcuoglu@itu.edu.tr,05254774439,Control and Automation Engineering
16,Okgüçlü Hayrioğlu,25,Male,868693187,1.55,okgucluhayrioglu@itu.edu.tr,05512535571,Astronautical Engineering
270,Oluş Hayrioğlu,30,Female,661256684,1.35,olushayrioglu@itu.edu.tr,05387854359,Economy
93,Hinet Sezer,28,Female,777815155,1.55,hinetsezer@itu.edu.tr,05428114842,Geophysical Engineering
249,Seçgül Türk,25,Female,777295701,1.63,secgulturk@itu.edu.tr,05094550606,Aircraft Engineering
110,Tülin Şensoy,18,Female,139184269,1.45,tulinsensoy@itu.edu.tr,05251146716,Landscape Architecture
281,Hüda Yorulmaz,19,Female,295788357,2.84,hudayorulmaz@itu.edu.tr,05286076484,Interior Architecture
138,Özlü Aksu,18,Male,835020356,2.91,ozluaksu@itu.edu.tr,05002602085,Landscape Architecture
123,Gül Gül,19,Female,700960184,1.73,gulgul@itu.edu.tr,05305054137,Electrical Engineering
34,Kutay Durmuş,23,Male,591185712,0.85,kutaydurmus@itu.edu.tr,05356486210,Textile Engineering
240,Gül Güçlü,19,Female,385454073,1.76,gulguclu@itu.edu.tr,05185181504,Maritime Transportation Management Engineering
212,Canfeza Fırat,27,Female,749618082,0.38,canfezafirat@itu.edu.tr,05150589243,Control and Automation Engineering
104,Enfes Şama,24,Female,491572136,1.89,enfessama@itu.edu.tr,05553949451,Aircraft Engineering
164,Yeşil Seven,29,Female,876837424,0.61,yesilseven@itu.edu.tr,05675073331,Textile Engineering
144,Melikkan Çamurcuoğlu,17,Female,122976086,1.87,melikkancamurcuoglu@itu.edu.tr,05851698006,Geological Engineering
30,Zülgarni Bilir,27,Male,705017198,0.68,zulgarnibilir@itu.edu.tr,05359332127,Metallurgy and Materials Engineering
227,Yılma Korutürk,20,Male,544280943,2.34,yilmakoruturk@itu.edu.tr,05143678584,Interior Architecture
27,Safura Çorlu,19,Female,898539214,2.06,safuracorlu@itu.edu.tr,05064488726,Geophysical Engineering
233,Özinal Sezer,19,Male,192376278,0.56,ozinalsezer@itu.edu.tr,05091274499,Landscape Architecture
67,Ersel Çorlu,22,Male,479983858,1.83,erselcorlu@itu.edu.tr,05232165011,Mining Engineering
132,Burç Zorlu,29,Male,264322418,1.95,burczorlu@itu.edu.tr,05246265783,Physics Engineering
238,Odkanlı Öcalan,30,Male,943389563,0.48,odkanliocalan@itu.edu.tr,05546885276,Control and Automation Engineering
194,Fayize Seven,22,Female,799313704,0.79,fayizeseven@itu.edu.tr,05482366608,Maritime Transportation Management Engineering
35,Sulhi Akçay,25,Male,636583680,0.32,sulhiakcay@itu.edu.tr,05861432103,Electronics and Communications Engineering
152,Mefarettin Yaman,30,Male,971325452,2.65,mefarettinyaman@itu.edu.tr,05721847678,Architecture
133,Hekime Akar,30,Female,772720669,0.73,hekimeakar@itu.edu.tr,05998491865,Electrical Engineering
24,Şemsettin Aslan,28,Male,299741037,0.08,semsettinaslan@itu.edu.tr,05981147043,Petroleum and Natural Gas Engineering
268,Vefia Aksu,26,Female,904048655,1.97,vefiaaksu@itu.edu.tr,05439416653,Ship Machinery Management Engineering
3,Tınal Çamurcuoğlu,25,Male,139307089,2.06,tinalcamurcuoglu@itu.edu.tr,05725597293,Physics Engineering
84,Mevlüdiye Tevetoğlu,22,Female,709928604,0.02,mevludiyetevetoglu@itu.edu.tr,05491773140,Mechanical Engineering
150,Mestur Zengin,17,Male,957228648,1.76,mesturzengin@itu.edu.tr,05737291203,Naval Construction and Ship Machinery Engineering
223,Sevgen Dumanlı,18,Female,751188374,2.37,sevgendumanli@itu.edu.tr,05556468143,Geophysical Engineering
8,Yaltırak Şener,28,Male,682905526,0.61,yaltiraksener@itu.edu.tr,05769770644,Manufacturing Engineering
61,Mahter Yıldırım,19,Female,210988385,1.74,mahteryildirim@itu.edu.tr,05244560157,Landscape Architecture
293,İyiyürek Yılmaz,19,Male,496452560,2.9,i̇yiyurekyilmaz@itu.edu.tr,05293408421,Ship Machinery Management Engineering
107,İzel Gül,19,Female,282820116,0.87,i̇zelgul@itu.edu.tr,05740030867,Mathematics Engineering
214,Sarıcabay Demirel,26,Male,654410315,3.0,saricabaydemirel@itu.edu.tr,05180255502,Textile Development and Marketing
225,Gündüzalp Akar,22,Male,496235157,1.84,gunduzalpakar@itu.edu.tr,05429973577,Textile Engineering
32,Ballı Duran,26,Female,710194926,2.06,balliduran@itu.edu.tr,05319085155,Economy
78,Canseven Karadeniz,27,Female,530544346,3.86,cansevenkaradeniz@itu.edu.tr,05126026442,Industrial Products Engineering
102,Hidir Türk,25,Male,275610133,0.04,hidirturk@itu.edu.tr,05297275304,Naval Construction and Ship Machinery Engineering
242,Selime Manço,17,Female,620388094,0.89,selimemanco@itu.edu.tr,05345622794,Civil Engineering
9,Macide Durdu,21,Female,544599418,1.86,macidedurdu@itu.edu.tr,05130942745,Industrial Engineering
51,Görsev Çamurcuoğlu,20,Female,431351941,3.19,gorsevcamurcuoglu@itu.edu.tr,05159987721,Electrical Engineering
90,Deryanur Yılmaz,29,Female,485996456,0.87,deryanuryilmaz@itu.edu.tr,05994590834,Aircraft Engineering
140,Gündüzalp Eraslan,25,Male,497205584,0.01,gunduzalperaslan@itu.edu.tr,05462300023,Control and Automation Engineering
130,Kübran İnönü,22,Female,879686375,0.1,kubrani̇nonu@itu.edu.tr,05395472688,Metallurgy and Materials Engineering
261,Mufide Bilir,27,Female,351200359,0.3,mufidebilir@itu.edu.tr,05074184898,Mineral Processing Engineering
243,İde Hançer,29,Female,210282042,1.77,i̇dehancer@itu.edu.tr,05284175434,Architecture
101,İldeş Ergül,25,Female,766570009,3.96,i̇ldesergul@itu.edu.tr,05133234586,Food Engineering
56,Jaruthip Bilgin,19,Female,445247151,3.01,jaruthipbilgin@itu.edu.tr,05874503984,Interior Architecture
88,Sadeti Bilir,30,Female,300531652,3.9,sadetibilir@itu.edu.tr,05704457440,Industrial Products Engineering
246,İmrihan Gülen,18,Female,942938620,3.85,i̇mrihangulen@itu.edu.tr,05409101197,Meteorological Engineering
280,Yalazabay Akar,17,Male,979636814,1.51,yalazabayakar@itu.edu.tr,05984190676,Ship Machinery Management Engineering
147,Süner Sezgin,28,Female,191767659,3.72,sunersezgin@itu.edu.tr,05065226798,Aircraft Engineering
145,Bilay Sezgin,24,Female,843452378,2.57,bilaysezgin@itu.edu.tr,05716767147,Interior Architecture
20,Deryanur Ertaş,26,Female,787550807,1.26,deryanurertas@itu.edu.tr,05053254305,Textile Engineering
183,Yazganalp Arsoy,24,Male,876178853,0.74,yazganalparsoy@itu.edu.tr,05620476172,City and Region Planning
49,Elgin Çetin,28,Female,807510711,3.55,elgincetin@itu.edu.tr,05375051812,City and Region Planning
137,Paker Bilir,21,Male,593335493,2.41,pakerbilir@itu.edu.tr,05392157866,Astronautical Engineering
210,Aksay Çorlu,29,Male,151209031,3.16,aksaycorlu@itu.edu.tr,05953857238,Geophysical Engineering
119,Yönetmen Manço,19,Male,344493075,2.52,yonetmenmanco@itu.edu.tr,05039618631,Textile Development and Marketing
162,Önsal Demir,24,Male,686667866,2.11,onsaldemir@itu.edu.tr,05562396945,Meteorological Engineering
69,Muhammet Soylu,27,Male,641820475,3.26,muhammetsoylu@itu.edu.tr,05856904909,Geological Engineering
86,Aliihsan Akçay,28,Male,204947356,2.47,aliihsanakcay@itu.edu.tr,05000719290,Ship Machinery Management Engineering
176,Seha Erdoğan,26,Male,653848323,3.45,sehaerdogan@itu.edu.tr,05496907888,Naval Construction and Ship Machinery Engineering
271,Tarancı Şensoy,28,Male,463013460,1.88,tarancisensoy@itu.edu.tr,05628141649,Landscape Architecture
209,Nihan Akdeniz,29,Female,272969342,2.51,nihanakdeniz@itu.edu.tr,05286458212,Industrial Products Engineering
43,Turgut Duran,30,Male,569342125,2.03,turgutduran@itu.edu.tr,05968137205,Interior Architecture
218,Erbil Ergül,22,Male,684432926,1.19,erbilergul@itu.edu.tr,05572476271,Industrial Engineering
234,Tecimer Akdeniz,23,Male,941758746,2.26,tecimerakdeniz@itu.edu.tr,05155931249,Ship and Marine Technology Engineering
116,Evrimer Fırat,29,Male,447134932,0.55,evrimerfirat@itu.edu.tr,05464590068,Geomatic Engineering
98,Çelikyürek Sezer,24,Male,730668444,3.1,celikyureksezer@itu.edu.tr,05229305668,Mathematics Engineering
254,Hürüyet Gülen,27,Female,155356216,3.15,huruyetgulen@itu.edu.tr,05483402059,Artificial Intelligence and Data Engineering
182,Özpınar Sezgin,29,Male,965860576,0.47,ozpinarsezgin@itu.edu.tr,05083291656,Mining Engineering
95,Danış Gülen,20,Male,866290825,0.43,danisgulen@itu.edu.tr,05161495629,Industrial Engineering
174,Erenalp Şener,21,Male,872742738,0.45,erenalpsener@itu.edu.tr,05712691258,Electrical Engineering
201,Ünlen Hançer,30,Male,876428623,0.75,unlenhancer@itu.edu.tr,05757159812,Ship and Marine Technology Engineering
77,Şali İhsanoğlu,21,Male,708852479,2.66,salii̇hsanoglu@itu.edu.tr,05298642376,Astronautical Engineering
29,Şevket Yılmaz,20,Male,326738200,1.94,sevketyilmaz@itu.edu.tr,05377035466,Textile Engineering
188,Mülâyim Yıldırım,29,Male,606509844,3.63,mulâyimyildirim@itu.edu.tr,05206305672,Molecular Biology and Genetics
122,Ülfet Mansız,21,Male,175406980,2.73,ulfetmansiz@itu.edu.tr,05818890378,Textile Development and Marketing
257,Veis Mansız,19,Male,143933126,0.23,veismansiz@itu.edu.tr,05870706843,Mining Engineering
244,İmge Kısakürek,25,Female,786590733,3.62,i̇mgekisakurek@itu.edu.tr,05897058353,Textile Engineering
113,Gökçe Kısakürek,28,Female,415535082,1.17,gokcekisakurek@itu.edu.tr,05904668424,Textile Development and Marketing
6,Akar Şensoy,29,Male,489854410,3.47,akarsensoy@itu.edu.tr,05288638396,Manufacturing Engineering
64,Oğuzman Akar,25,Male,135162450,1.81,oguzmanakar@itu.edu.tr,05510982245,Industrial Products Engineering
149,Erdursun Erdoğan,25,Male,200054574,0.26,erdursunerdogan@itu.edu.tr,05046870466,Physics Engineering
143,Arıkol Dumanlı,18,Male,882511412,3.4,arikoldumanli@itu.edu.tr,05190209689,Astronautical Engineering
125,Şahıgül Fırat,17,Female,933416124,1.01,sahigulfirat@itu.edu.tr,05390011896,Interior Architecture
109,Sevcan Çamurcuoğlu,21,Female,277445192,3.71,sevcancamurcuoglu@itu.edu.tr,05793473617,Naval Construction and Ship Machinery Engineering
213,Ayvas İhsanoğlu,17,Male,465652224,0.29,ayvasi̇hsanoglu@itu.edu.tr,05755084152,City and Region Planning
228,Serfinaz Akdeniz,19,Female,510397336,1.14,serfinazakdeniz@itu.edu.tr,05645353323,Environmental Engineering
267,Sonad Akçay,29,Male,387079407,0.79,sonadakcay@itu.edu.tr,05160967649,Meteorological Engineering
57,Aru Hançer,27,Male,595351344,2.95,aruhancer@itu.edu.tr,05120529971,Naval Construction and Ship Machinery Engineering
205,Buyrukhan Sakarya,23,Male,400384924,1.12,buyrukhansakarya@itu.edu.tr,05966614418,Management Engineering
58,Gülgen Tarhan,18,Female,986173112,2.11,gulgentarhan@itu.edu.tr,05012944774,Geological Engineering
117,Züfer İhsanoğlu,30,Male,726079864,2.22,zuferi̇hsanoglu@itu.edu.tr,05843906619,Geomatic Engineering
168,Över Duran,27,Male,607115481,1.07,overduran@itu.edu.tr,05400747246,Manufacturing Engineering
202,Müzekker Bilgin,27,Male,960385606,3.96,muzekkerbilgin@itu.edu.tr,05131248353,Petroleum and Natural Gas Engineering
298,Rengül İnönü,23,Female,719820478,0.91,renguli̇nonu@itu.edu.tr,05241474339,Landscape Architecture
172,Nura Şensoy,24,Female,102167618,1.82,nurasensoy@itu.edu.tr,05244840488,Ship and Marine Technology Engineering
160,Özlem Duran,27,Female,555764201,0.34,ozlemduran@itu.edu.tr,05235083504,Textile Engineering
190,Ezgin İnönü,19,Female,765642633,2.4,ezgini̇nonu@itu.edu.tr,05643032210,Astronautical Engineering
83,Kerman Ergül,26,Male,584925381,3.34,kermanergul@itu.edu.tr,05674708524,Electronics and Communications Engineering
141,Kaşif Sakarya,17,Male,670375860,2.14,kasifsakarya@itu.edu.tr,05270893981,Control and Automation Engineering
47,Şahdiye Arsoy,23,Female,419898220,2.83,sahdiyearsoy@itu.edu.tr,05415635994,Electronics and Communications Engineering
105,Evrimer Çorlu,29,Male,804107514,3.83,evrimercorlu@itu.edu.tr,05455571348,Astronautical Engineering
108,Vaysal Akçay,17,Male,673700562,2.82,vaysalakcay@itu.edu.tr,05900927836,Physics Engineering
99,Satrettin Çorlu,21,Male,922734718,0.64,satrettincorlu@itu.edu.tr,05194387081,Naval Construction and Ship Machinery Engineering
72,İldeş Bilge,27,Female,374690253,1.07,i̇ldesbilge@itu.edu.tr,05904085413,Astronautical Engineering
50,İsak Duran,25,Male,764296426,3.04,i̇sakduran@itu.edu.tr,05657018159,Meteorological Engineering
189,Arziye Bilge,22,Female,111370919,1.41,arziyebilge@itu.edu.tr,05841822752,Meteorological Engineering
115,Kitan Bilir,28,Female,639137071,3.87,kitanbilir@itu.edu.tr,05401476755,Geomatic Engineering
45,Dirican Akça,26,Male,574957864,3.23,diricanakca@itu.edu.tr,05491263635,Food Engineering
166,Demiryürek Yüksel,25,Male,145379125,2.9,demiryurekyuksel@itu.edu.tr,05126093264,Electrical Engineering
266,Satıa Alemdar,29,Female,853059618,2.43,satiaalemdar@itu.edu.tr,05169132547,Metallurgy and Materials Engineering
65,Lutfi Akdeniz,18,Male,384895524,3.51,lutfiakdeniz@itu.edu.tr,05046452503,Chemical Engineering
5,Neşrin Fırat,26,Female,906013735,0.4,nesrinfirat@itu.edu.tr,05204686002,Interior Architecture
